ID,Name,Offer Name,MINIMUM NIGHTS,MAXIMUM NIGHTS,VALID FROM,VALID TO,SINGLE BED,DOUBLE BED,Package,Offer type,Drinks,BB price,LAST MODIFICATION,MODIFIED BY,Priority,OFFER ON AGE,ACTIVE ?,Offer description,,Offer supplements,Offer tag
11,Lacco Ameno,dal 16.07 a Ischia in 4 stelle a Lacco Ameno,7,7,16/07/2023,23/07/2023,445,545,- Sistemazione in camera doppia/matrimoniale standard (finestra/ balcone /terrazzino vista giardino) - Acqua inclusa ai pasti - Wi-Fi in tutta la struttura incluse le camere - Utilizzo della piscina esterna temperata di acqua naturale - Serata Piano Bar -,Totale offerta,incluse,,13/05/2023 13:11,Alexander Cannava,,Infant 0/3 anni: gratis nel letto con i genitori pasti da regolare in loco - 3°/4° letto 3/12 anni sconto del 20% - 3°/4° letto dai 12 anni sconto del 10%,Yes,Sistemazione in camera standard - acqua inclusa ai pasti,- 1 Giro dell'isola d'Ischia in Bus GT con un ora di sosta a San'Angelo - 1 Serata in pizzeria - 1 Cadeaux di prodotti tipici Ischitani - 1 Trasferimento il giorno di partenza Hotel / Porto * omaggi per soggiorni minimo 7 notti per i primi due paganti per,"Culla 0/3 anni Euro 15,00 al giorno da regolare in loco - Camera Singola Euro 15,00 al giorno - Camera Doppia uso Singola Euro 25,00 al giorno - Camera con balcone Euro 10,00 per camera al giorno - Camera Comfort Euro 20,00 per camera al giorno - Camera Superior Euro 30,00 per camera al giorno - Animali Euro Euro 10,00 al giorno da regolare in loco - Galà Ferragosto, obbligatorio da regolare in loco, Euro 50,00 per persona dai 3 anni - Cucina attenta alle intolleranze alimentari Euro 4,00 a pasto al giorno da regolare in loco",- LUGLIO ISCHIA - WELLNESS E TERME - HOTEL IN CENTRO - VICINO AL MARE -
12,Lacco Ameno,dal 06.08 a Ischia in 4 stelle a Lacco Ameno,7,7,6/8/2023,13/08/2023,605,705,- Sistemazione in camera doppia/matrimoniale standard (finestra/ balcone /terrazzino vista giardino) - Acqua inclusa ai pasti - Wi-Fi in tutta la struttura incluse le camere - Utilizzo della piscina esterna temperata di acqua naturale - Serata Piano Bar -,Totale offerta,incluse,,13/05/2023 13:30,Alexander Cannava,,Infant 0/3 anni: gratis nel letto con i genitori pasti da regolare in loco - 3°/4° letto 3/12 anni sconto del 20% - 3°/4° letto dai 12 anni sconto del 10%,Yes,Sistemazione in camera standard - acqua inclusa ai pasti,- 1 Giro dell'isola d'Ischia in Bus GT con un ora di sosta a San'Angelo - 1 Serata in pizzeria - 1 Cadeaux di prodotti tipici Ischitani - 1 Trasferimento il giorno di partenza Hotel / Porto * omaggi per soggiorni minimo 7 notti per i primi due paganti per,"Culla 0/3 anni Euro 15,00 al giorno da regolare in loco - Camera Singola Euro 15,00 al giorno - Camera Doppia uso Singola Euro 25,00 al giorno - Camera con balcone Euro 10,00 per camera al giorno - Camera Comfort Euro 20,00 per camera al giorno - Camera Superior Euro 30,00 per camera al giorno - Animali Euro Euro 10,00 al giorno da regolare in loco - Galà Ferragosto, obbligatorio da regolare in loco, Euro 50,00 per persona dai 3 anni - Cucina attenta alle intolleranze alimentari Euro 4,00 a pasto al giorno da regolare in loco",- LUGLIO ISCHIA - WELLNESS E TERME - HOTEL IN CENTRO - VICINO AL MARE -
13,Lacco Ameno,dal 10.09 a Ischia in 4 stelle a Lacco Ameno,7,7,10/9/2023,17/09/2023,395,485,- Sistemazione in camera doppia/matrimoniale standard (finestra/ balcone /terrazzino vista giardino) - Acqua inclusa ai pasti - Wi-Fi in tutta la struttura incluse le camere - Utilizzo della piscina esterna temperata di acqua naturale - Serata Piano Bar -,Totale offerta,incluse,,13/05/2023 13:31,Alexander Cannava,,Infant 0/3 anni: gratis nel letto con i genitori pasti da regolare in loco - 3°/4° letto 3/12 anni sconto del 20% - 3°/4° letto dai 12 anni sconto del 10%,Yes,Sistemazione in camera standard - acqua inclusa ai pasti,- 1 Giro dell'isola d'Ischia in Bus GT con un ora di sosta a San'Angelo - 1 Serata in pizzeria - 1 Cadeaux di prodotti tipici Ischitani - 1 Trasferimento il giorno di partenza Hotel / Porto * omaggi per soggiorni minimo 7 notti per i primi due paganti per,"Culla 0/3 anni Euro 15,00 al giorno da regolare in loco - Camera Singola Euro 15,00 al giorno - Camera Doppia uso Singola Euro 25,00 al giorno - Camera con balcone Euro 10,00 per camera al giorno - Camera Comfort Euro 20,00 per camera al giorno - Camera Superior Euro 30,00 per camera al giorno - Animali Euro Euro 10,00 al giorno da regolare in loco - Galà Ferragosto, obbligatorio da regolare in loco, Euro 50,00 per persona dai 3 anni - Cucina attenta alle intolleranze alimentari Euro 4,00 a pasto al giorno da regolare in loco",- LUGLIO ISCHIA - WELLNESS E TERME - HOTEL IN CENTRO - VICINO AL MARE -
14,Colella + Spiaggia,04.06 per 7 giorni al Colella + Spiaggia,7,7,4/6/2023,11/6/2023,279,329,- Servizio spiaggia c/o Lido Mattera con 2 lettini + ombrellone per camera dalla quarta fila - Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata c,Totale offerta,non incluse,,13/05/2023 13:45,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy - SPIAGGIA INCLUSA,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",GIUGNO ISCHIA - SPIAGGIA INCLUSA - PISCINE TERMALI
15,Colella,11.06 per 7 giorni al Colella in HB o FB,7,7,11/6/2023,18/06/2023,255,305,- Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata con sdraio lettini ed ombrelloni - Parcheggio libero non custodito fino ad esaurimento posti,Totale offerta,non incluse,,13/05/2023 13:46,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",GIUGNO ISCHIA - PISCINE TERMALI - 3 STELLE
16,Colella + Spiaggia,18.06 per 7 giorni al Colella + Spiaggia,7,7,18/06/2023,25/06/2023,319,369,- Servizio spiaggia c/o Lido Mattera con 2 lettini + ombrellone per camera dalla quarta fila - Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata c,Totale offerta,non incluse,,13/05/2023 13:46,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy - SPIAGGIA INCLUSA,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",GIUGNO ISCHIA - SPIAGGIA INCLUSA - PISCINE TERMALI
17,Colella,25.06 per 7 giorni al Colella in HB o FB,7,7,11/6/2023,18/06/2023,275,325,- Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata con sdraio lettini ed ombrelloni - Parcheggio libero non custodito fino ad esaurimento posti,Totale offerta,non incluse,,13/05/2023 13:46,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",GIUGNO ISCHIA - PISCINE TERMALI - 3 STELLE
18,Colella,06.07 per 3 giorni al Colella in HB o FB,3,3,6/7/2023,9/7/2023,165,195,- Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata con sdraio lettini ed ombrelloni - Parcheggio libero non custodito fino ad esaurimento posti,Totale offerta,non incluse,,2/6/2023 12:14,Alexander Cannava,1,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",LUGLIO ISCHIA - 3 NOTTI - PISCINE TERMALI - 3 STELLE
19,Colella,20.07 per 3 giorni al Colella in HB o FB,3,3,20/07/2023,23/07/2023,165,195,- Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata con sdraio lettini ed ombrelloni - Parcheggio libero non custodito fino ad esaurimento posti,Totale offerta,non incluse,,13/05/2023 13:41,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",LUGLIO ISCHIA - 3 NOTTI - PISCINE TERMALI - 3 STELLE
20,Colella,06.08 per 7 giorni al Colella in HB o FB,7,7,6/8/2023,13/08/2023,465,,- Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata con sdraio lettini ed ombrelloni - Parcheggio libero non custodito fino ad esaurimento posti,Totale offerta,non incluse,,13/05/2023 13:46,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",AGOSTO ISCHIA - PISCINE TERMALI - 3 STELLE
21,Colella + Spiaggia,06.08 per 7 giorni al Colella + Spiaggia,7,7,6/8/2023,13/08/2023,549,599,- Servizio spiaggia c/o Lido Mattera con 2 lettini + ombrellone per camera dalla quarta fila - Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata c,Totale offerta,non incluse,,13/05/2023 13:46,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy - SPIAGGIA INCLUSA,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",AGOSTO ISCHIA - SPIAGGIA INCLUSA - PISCINE TERMALI
22,Colella,13.08 per 7 giorni al Colella in HB o FB,7,7,13/08/2023,20/08/2023,595,,- Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata con sdraio lettini ed ombrelloni - Parcheggio libero non custodito fino ad esaurimento posti,Totale offerta,non incluse,,13/05/2023 13:45,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona) - Gran Gala` di ferragosto (15.08) OBBLIGATORIO pagamento diretto al check in: • 0/6 anni Euro 15,00 • 6/12 anni Euro 25,00 • dai 12 anni in su Euro 50,00",AGOSTO ISCHIA - PISCINE TERMALI - 3 STELLE
23,Colella,20.08 per 7 giorni al Colella in HB o FB,7,7,20/08/2023,27/08/2023,545,595,- Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata con sdraio lettini ed ombrelloni - Parcheggio libero non custodito fino ad esaurimento posti,Totale offerta,non incluse,,13/05/2023 13:45,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",AGOSTO ISCHIA - PISCINE TERMALI - 3 STELLE
24,Colella + Spiaggia,20.08 per 7 giorni al Colella + Spiaggia,7,7,20/08/2023,27/08/2023,629,679,- Servizio spiaggia c/o Lido Mattera con 2 lettini + ombrellone per camera dalla quarta fila - Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata c,Totale offerta,non incluse,,13/05/2023 13:46,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy - SPIAGGIA INCLUSA,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",AGOSTO ISCHIA - SPIAGGIA INCLUSA - PISCINE TERMALI
25,Colella,03.09 per 7 giorni al Colella in HB o FB,7,7,3/9/2023,10/9/2023,295,345,- Wi-Fi nella hall - Accesso alla piscina termale interna a 33° C - Accesso alla piscina minerale esterna a temperatura ambiente - Terrazza solarium attrezzata con sdraio lettini ed ombrelloni - Parcheggio libero non custodito fino ad esaurimento posti,Totale offerta,non incluse,,13/05/2023 13:45,Alexander Cannava,,"Infant 0/3 anni: gratis nel letto con in genitori, pasti da regolare in loco - 3°/4° letto 3/15 anni: sconto del 50% - 3°/4° letto dai 15 anni: sconto del 20%",Yes,Sistemazione in camera economy,,"Culla Euro 10,00 al giorno, da regolare in loco - Camera Standard con aria condizionata Euro 20,00 a camera al giorno (da richiedere all'atto della prenotazione) - Camera Singola Euro 15,00 al giorno - Pensione completa Euro 50,00 per persona a settimana (al giorno Euro 10,00 per persona)",SETTMEBRE ISCHIA - PISCINE TERMALI - 3 STELLE
